ip,app,device,os,channel,hour,day,minute,dayofweek,ip_click_count,app_click_count,device_click_count,os_click_count,channel_click_count,ip_hour_click_count,ip_app_click_count,ip_device_click_count,ip_channel_click_count,ip_unique_apps,ip_unique_devices,ip_unique_os,ip_unique_channels,time_since_prev_click_sec,very_fast_repeat_click,anomaly_score,anomaly_flag,conversion_probability,low_quality_score,anomaly_score_scaled,risk_score,decision
98255,8,1,20,145,16,6,4,0,91,32361,467914,11883,31640,91,33,91,33,14,1,3,21,14.0,0,-0.14494312975333756,0,0.08502017,0.9149798,0.2730789577262044,0.7224095700769555,monitor
45730,9,1,13,134,16,6,6,0,77,59537,467914,110115,43940,77,5,77,5,18,1,7,35,0.0,1,-0.19655595634344286,0,0.03945947,0.96054053,0.13812913429115276,0.713817101512474,monitor
92993,12,1,1,409,16,6,5,0,62,69497,467914,5347,3343,62,5,62,1,16,1,8,31,0.0,1,-0.21635772706971818,0,0.011884269,0.9881157,0.08635430156527905,0.7175873178819983,monitor
15333,12,1,23,259,16,6,4,0,18,69497,467914,4844,24335,18,5,18,1,8,1,4,9,1.0,1,-0.22709472325068736,0,0.004167012,0.995833,0.058280742441074944,0.7145672787053755,monitor
161440,6,1,13,459,16,6,2,0,2,10944,467914,110115,10801,2,1,2,2,2,1,1,1,-1.0,0,-0.18390436726437165,0,0.085140005,0.91486,0.1712086965858634,0.6917646279996543,monitor
107131,6,1,15,459,16,6,0,0,75,10944,467914,11772,10801,75,9,75,17,16,1,4,35,10.0,0,-0.15333340184740285,0,0.0069712843,0.9930287,0.251141276485487,0.7704624791523111,monitor
77074,9,1,14,134,16,6,6,0,3,59537,467914,7316,43940,3,1,3,1,3,1,1,3,0.0,1,-0.19439501719430818,0,0.23409984,0.76590014,0.14377924834023528,0.5792638451884109,monitor
102467,18,1,13,107,16,6,3,0,98,38763,467914,110115,14818,98,4,90,2,16,2,13,33,25.0,0,-0.1694431530309914,0,0.03691116,0.96308887,0.2090198074352981,0.7368681512645555,monitor
114220,12,1,13,265,16,6,7,0,629,69497,467914,110115,11005,629,87,546,19,29,4,40,72,1.0,1,-0.08836939135879596,0,0.0026646864,0.9973353,0.42099986250509175,0.8244346790769975,block
22851,2,1,41,435,16,6,9,0,56,53879,467914,6222,3668,56,4,56,1,21,1,5,32,1.0,1,-0.20112881388423326,0,0.0017460644,0.99825394,0.12617268163212295,0.7366295397229438,monitor
4919,9,1,9,134,16,6,6,0,43,59537,467914,12357,43940,43,8,43,11,9,1,7,14,0.0,1,-0.21572479562290214,0,0.0088941,0.9911059,0.0880092000205148,0.7201768641245017,monitor
103032,9,1,607,215,16,6,1,0,11,59537,467914,4375,13005,11,5,11,3,4,1,3,9,73.0,0,-0.19011246026656564,0,0.010342087,0.98965794,0.15497666455305337,0.7392535264998576,monitor
114973,15,1,18,245,16,6,4,0,6,56109,467914,24717,42657,6,2,6,4,3,1,1,2,0.0,1,-0.20617660538190818,0,0.09189023,0.9081098,0.1129744397152817,0.6695691927239107,monitor
177457,2,1,13,477,16,6,7,0,125,53879,467914,110115,20041,125,105,125,103,5,1,2,8,12.0,0,-0.05706452135009665,0,0.0003605825,0.9996394,0.5028513509709668,0.8506029676997373,block
129806,17,2,19,280,16,6,3,0,29,2398,26018,120453,22283,29,4,10,4,12,3,9,15,4.0,1,-0.10939917221033924,0,0.017274577,0.98272544,0.36601420486359254,0.797712076438631,monitor
43855,8,1,19,145,16,6,0,0,318,32361,467914,120453,31640,318,15,276,14,25,4,35,59,0.0,1,-0.10075588836540705,0,0.043833084,0.9561669,0.38861342497676193,0.7859008557439136,monitor
26995,3,1,22,280,16,6,0,0,709,65991,467914,18179,22283,709,92,656,36,30,4,45,79,0.0,1,-0.05433774572312722,0,0.0014807069,0.9985193,0.509980933164341,0.851957802860374,block
113950,8,1,35,145,16,6,0,0,20,32361,467914,4928,31640,20,6,20,6,8,1,2,9,0.0,1,-0.2126079917498846,0,0.016881857,0.9831181,0.09615857218503095,0.7170302236521219,monitor
88881,9,1,20,134,16,6,7,0,56,59537,467914,11883,43940,56,9,56,14,12,1,9,16,0.0,1,-0.20477251939544677,0,0.038933583,0.9610664,0.11664564256308162,0.7077401722801855,monitor
195724,12,1,22,145,16,6,4,0,7,69497,467914,18179,31640,7,1,7,1,6,1,1,6,0.0,1,-0.21955721497338276,0,0.072205395,0.9277946,0.07798873904511096,0.6728528246973895,monitor
31920,2,1,19,212,16,6,2,0,11,53879,467914,120453,3113,11,2,10,2,8,2,3,8,0.0,1,-0.21841031816055678,0,0.024365468,0.9756345,0.080987480493981,0.7072404227294321,monitor
25761,2,1,9,205,16,6,5,0,162,53879,467914,12357,10651,162,93,121,81,15,2,18,31,10.0,0,-0.08176311482858967,0,0.00032177105,0.99967825,0.4382730077717642,0.8312566444579941,block
174119,3,1,13,280,16,6,1,0,3,65991,467914,110115,22283,3,1,3,1,3,1,1,3,1.0,1,-0.21024490992411166,0,0.097067155,0.9029328,0.10233721994023398,0.6627541239936974,monitor
192756,9,1,23,134,16,6,7,0,194,59537,467914,4844,43940,193,21,176,13,21,3,24,58,0.0,1,-0.13319285578894147,0,0.0065245917,0.99347544,0.3038018904072975,0.786573349295346,monitor
69913,8,1,19,145,16,6,5,0,145,32361,467914,120453,31640,145,66,145,66,10,1,3,14,0.0,1,-0.10659155476632343,0,0.012375209,0.98762476,0.373355160656464,0.8033438952275789,block
128798,20,1,19,259,16,6,7,0,4,7931,467914,120453,24335,4,1,4,2,4,1,2,3,-1.0,0,-0.18760295122391563,0,0.079630755,0.92036927,0.1615381692135869,0.6927199499095839,monitor
105519,1,1,19,134,16,6,6,0,137,19091,467914,120453,43940,137,2,113,13,14,3,19,21,4.0,1,-0.13157940941387325,0,0.00540926,0.99459076,0.30802049880025695,0.7886196930551467,monitor
113832,3,1,8,280,16,6,8,0,14,65991,467914,15263,22283,14,2,14,2,5,1,6,5,0.0,1,-0.22132009720155632,0,0.022417063,0.97758293,0.07337940719591478,0.7063218742217627,monitor
120709,12,1,6,409,16,6,9,0,34,69497,467914,12778,3343,34,4,34,2,18,1,9,25,3.0,1,-0.20300042636267396,0,0.004614999,0.995385,0.1212790575043401,0.7331531931881917,monitor
95891,8,1,10,145,16,6,1,0,85,32361,467914,14836,31640,85,6,81,6,9,3,8,11,30.0,0,-0.14524528984597151,0,0.05082123,0.94917876,0.2722889128120999,0.7461118085024434,monitor
114878,9,1,20,215,16,6,1,0,169,59537,467914,11883,13005,169,22,148,5,14,3,22,23,1.0,1,-0.17737753336263556,0,0.08155963,0.91844034,0.18827412665083976,0.699390453518018,monitor
131316,9,1,13,215,16,6,0,0,21,59537,467914,110115,13005,21,7,21,3,7,1,1,8,3.0,1,-0.21044559582617206,0,0.1271841,0.8728159,0.1018124951995404,0.6415149013423023,monitor
147065,9,1,13,215,16,6,2,0,389,59537,467914,110115,13005,389,47,367,13,29,3,30,68,1.0,1,-0.11999307921718944,0,0.012657838,0.9873422,0.3383147748088188,0.7926339516572758,monitor
108722,1,1,10,134,16,6,1,0,42,19091,467914,14836,43940,42,5,42,10,7,1,3,9,1.0,1,-0.19383511752107385,0,0.0016266861,0.9983733,0.14524319377853456,0.7424342590788423,monitor
77128,2,1,13,122,16,6,9,0,47,53879,467914,110115,5972,47,4,46,3,15,2,8,22,2.0,1,-0.2099063353947046,0,0.011196181,0.9888038,0.10322247610583694,0.7231293757739508,monitor
65028,64,1,19,459,16,6,9,0,5,6423,467914,120453,10801,5,2,5,4,3,1,2,2,0.0,1,-0.1905072363972276,0,0.02904094,0.97095907,0.15394446049354119,0.7258546852893282,monitor
13634,13,1,13,477,16,6,6,0,357,7335,467914,110115,20041,357,5,322,9,22,3,24,57,1.0,1,-0.11851977474092623,0,0.008059975,0.99194,0.3421669602455278,0.7970080792922252,monitor
